region_id,region_name,date,rainfall_mm_3h,rainfall_mm_24h,slope_deg,soil_moisture,river_level_m,land_use_type,risk_score,flood_occurred
REG_00000,Mangan,2022-05-10,21.23,89.99,24.35,0.348,1.65,Agriculture,31.1,0
REG_00001,Chamoli,2023-07-18,128.4,214.11,27.5,0.709,5.55,Agriculture,62.9,0
REG_00002,Dehradun,2023-02-04,5.61,36.18,57.02,0.213,0.63,Urban,28.8,0
REG_00003,Gangtok,2022-12-31,22.9,83.38,19.47,0.31,2.36,Urban,33.9,0
REG_00004,Gangtok,2024-06-26,123.2,193.59,20.2,0.648,4.8,Urban,60.3,0
REG_00005,Namchi,2025-12-09,14.08,138.09,38.02,0.488,3.04,Agriculture,45.2,0
REG_00006,Tehri,2021-04-11,15.96,111.64,58.61,0.423,2.09,Agriculture,42.0,0
REG_00007,Namchi,2023-05-23,15.67,110.2,55.06,0.478,1.91,Agriculture,42.3,0
REG_00008,Chamba,2020-11-26,15.0,54.71,39.64,0.32,1.45,Barren,30.9,0
REG_00009,Namchi,2024-01-22,8.52,75.76,50.61,0.379,2.38,Barren,38.5,0
REG_00010,Haridwar,2025-11-05,14.51,62.16,34.38,0.26,1.98,Forest,25.4,0
REG_00011,Gyalshing,2020-05-10,8.76,26.99,31.73,0.214,1.12,Agriculture,20.5,0
REG_00012,Uttarkashi,2024-08-12,96.69,124.02,30.02,0.496,2.98,Forest,39.8,0
REG_00013,Dehradun,2022-02-08,3.26,53.69,32.73,0.339,1.6,Forest,25.4,0
REG_00014,Uttarkashi,2024-02-24,28.59,73.18,45.35,0.331,1.37,Forest,29.1,0
REG_00015,Mandi,2023-04-30,31.64,149.78,51.07,0.463,4.5,Forest,48.6,0
REG_00016,Pakyong,2022-08-13,78.2,131.3,38.8,0.51,3.55,Agriculture,46.1,0
REG_00017,Shimla,2023-03-30,46.98,132.09,53.45,0.515,3.62,Agriculture,48.9,0
REG_00018,Pithoragarh,2021-04-04,21.84,83.22,41.94,0.356,1.88,Barren,36.4,0
REG_00019,Dehradun,2020-01-22,20.03,84.41,50.14,0.385,2.11,Urban,40.5,0
REG_00020,Kinnaur,2022-01-17,3.08,81.07,44.48,0.285,1.94,Forest,29.9,0
REG_00021,Shimla,2021-04-19,33.0,77.28,48.69,0.387,2.09,Agriculture,35.5,0
REG_00022,Chamoli,2022-12-18,7.71,56.83,10.95,0.316,2.2,Forest,22.8,0
REG_00023,Tehri,2025-08-09,41.71,81.71,53.36,0.32,2.38,Agriculture,35.7,0
REG_00024,Namchi,2022-09-02,79.79,128.23,54.3,0.539,2.15,Urban,50.3,0
REG_00025,Tehri,2024-12-11,8.8,62.41,52.07,0.229,2.16,Urban,34.5,0
REG_00026,Kangra,2020-07-08,65.06,125.95,46.51,0.472,1.89,Urban,46.5,0
REG_00027,Mandi,2021-07-16,122.69,175.36,49.38,0.652,4.04,Forest,55.1,0
REG_00028,Kullu,2025-03-14,43.4,98.65,19.06,0.499,2.31,Agriculture,36.3,0
REG_00029,Shimla,2023-06-21,53.04,113.45,12.38,0.383,2.42,Urban,38.2,0
REG_00030,Haridwar,2024-03-08,14.37,18.9,24.49,0.209,0.5,Forest,14.5,0
REG_00031,Gyalshing,2021-10-08,63.35,98.31,32.12,0.389,2.38,Forest,33.3,0
REG_00032,Rudraprayag,2025-08-30,143.72,180.23,23.54,0.601,3.99,Agriculture,52.5,0
REG_00033,Pakyong,2023-07-21,109.76,169.68,53.53,0.58,3.4,Agriculture,54.5,0
REG_00034,Pakyong,2021-08-23,48.34,115.3,58.22,0.46,2.79,Forest,42.2,0
REG_00035,Mandi,2025-08-23,53.54,80.02,48.54,0.463,1.83,Urban,41.2,0
REG_00036,Pakyong,2020-08-29,109.2,193.4,33.83,0.694,4.51,Forest,56.6,0
REG_00037,Rudraprayag,2025-08-03,23.94,89.06,17.29,0.298,2.38,Barren,32.5,0
REG_00038,Dehradun,2023-09-25,119.06,147.33,53.6,0.48,3.54,Forest,47.2,0
REG_00039,Mandi,2025-11-09,39.05,76.11,52.1,0.378,2.61,Barren,39.2,0
REG_00040,Shimla,2023-10-22,12.79,60.14,18.11,0.245,0.73,Urban,26.1,0
REG_00041,Shimla,2024-01-18,43.87,122.95,12.44,0.403,2.7,Urban,40.4,0
REG_00042,Mangan,2022-02-14,22.52,93.08,54.95,0.362,1.93,Forest,34.9,0
REG_00043,Namchi,2020-02-04,6.02,34.28,51.1,0.277,1.19,Agriculture,26.3,0
REG_00044,Kangra,2025-05-09,17.63,104.72,56.71,0.46,3.13,Forest,41.4,0
REG_00045,Gyalshing,2024-05-04,9.56,61.88,27.89,0.26,2.45,Agriculture,27.8,0
REG_00046,Gyalshing,2022-10-18,19.31,108.57,42.9,0.329,2.31,Agriculture,37.2,0
REG_00047,Dehradun,2023-02-03,5.62,60.66,53.21,0.354,1.79,Forest,30.4,0
REG_00048,Dehradun,2024-02-09,46.07,71.8,27.07,0.369,2.53,Barren,34.2,0
REG_00049,Gangtok,2021-12-03,24.65,88.93,33.73,0.379,1.55,Forest,30.6,0
REG_00050,Gangtok,2024-04-28,11.71,137.59,36.58,0.487,2.18,Agriculture,43.2,0
REG_00051,Chamoli,2020-06-10,82.12,116.97,11.46,0.442,3.07,Urban,41.2,0
REG_00052,Shimla,2020-07-20,71.71,101.25,51.42,0.41,2.87,Forest,38.4,0
REG_00053,Gyalshing,2025-06-04,153.56,196.21,57.19,0.613,4.13,Urban,64.5,0
REG_00054,Shimla,2022-09-22,70.99,136.35,30.86,0.555,3.72,Agriculture,46.9,0
REG_00055,Namchi,2022-03-26,18.87,161.71,40.56,0.454,4.41,Barren,52.8,0
REG_00056,Pakyong,2021-03-31,4.85,94.0,37.08,0.439,2.41,Agriculture,37.4,0
REG_00057,Kinnaur,2023-06-29,80.69,106.05,27.39,0.374,2.73,Barren,38.8,0
REG_00058,Mandi,2022-10-13,21.93,124.54,14.12,0.364,2.53,Agriculture,35.5,0
REG_00059,Pithoragarh,2020-12-03,6.86,71.85,36.01,0.352,2.37,Forest,29.9,0
REG_00060,Dehradun,2022-05-28,27.05,90.82,22.21,0.406,2.45,Agriculture,33.9,0
REG_00061,Haridwar,2022-12-12,2.29,46.83,42.62,0.255,2.22,Agriculture,27.9,0
REG_00062,Uttarkashi,2022-03-02,14.3,54.88,36.86,0.315,1.05,Urban,31.0,0
REG_00063,Chamba,2022-02-02,4.67,57.38,39.53,0.199,1.75,Agriculture,26.3,0
REG_00064,Shimla,2021-01-14,17.09,131.25,40.09,0.541,3.55,Urban,51.1,0
REG_00065,Kinnaur,2021-05-07,12.2,31.34,54.28,0.172,1.73,Urban,29.0,0
REG_00066,Dehradun,2023-03-26,23.02,90.54,17.37,0.418,2.16,Agriculture,32.7,0
REG_00067,Pakyong,2025-08-24,70.5,129.78,50.28,0.477,2.93,Forest,43.3,0
REG_00068,Shimla,2020-03-05,22.59,74.75,57.74,0.341,2.16,Urban,39.7,0
REG_00069,Chamba,2023-09-29,75.44,161.44,46.07,0.471,4.22,Barren,53.7,0
REG_00070,Chamba,2023-02-26,34.45,54.83,16.95,0.381,1.39,Barren,28.5,0
REG_00071,Haridwar,2025-07-20,113.46,217.03,52.51,0.752,4.59,Forest,64.0,0
REG_00072,Namchi,2024-02-04,9.15,15.31,49.59,0.15,1.27,Forest,18.3,0
REG_00073,Kangra,2023-03-08,32.71,77.84,53.14,0.417,2.02,Forest,34.4,0
REG_00074,Dehradun,2024-03-02,21.8,40.24,34.32,0.233,0.63,Agriculture,22.0,0
REG_00075,Rudraprayag,2021-01-26,36.63,79.76,51.01,0.33,2.11,Barren,37.3,0
REG_00076,Dehradun,2024-08-25,42.39,151.18,17.7,0.465,3.39,Forest,41.0,0
REG_00077,Kullu,2021-02-22,5.59,44.53,38.83,0.252,1.95,Agriculture,26.4,0
REG_00078,Gangtok,2021-01-13,5.69,31.94,37.59,0.228,0.76,Urban,25.7,0
REG_00079,Gyalshing,2024-12-01,43.77,144.47,54.84,0.473,3.59,Urban,53.5,0
REG_00080,Rudraprayag,2025-09-19,128.73,187.43,53.15,0.655,4.33,Agriculture,60.3,0
REG_00081,Kullu,2025-12-22,31.16,74.96,45.8,0.415,2.05,Forest,32.9,0
REG_00082,Mangan,2020-07-19,34.49,64.45,18.74,0.348,2.59,Forest,26.5,0
REG_00083,Mangan,2025-02-06,31.41,86.43,50.34,0.286,3.13,Forest,33.9,0
REG_00084,Chamoli,2022-02-18,5.33,50.41,40.71,0.202,1.86,Agriculture,25.9,0
REG_00085,Chamba,2021-05-17,0.78,66.27,50.83,0.327,1.75,Urban,36.4,0
REG_00086,Gangtok,2024-10-17,11.99,27.81,56.92,0.269,1.19,Urban,30.3,0
REG_00087,Gangtok,2022-03-15,14.57,73.0,32.5,0.321,2.33,Forest,28.6,0
REG_00088,Gangtok,2025-11-16,40.29,128.98,47.23,0.477,3.2,Forest,43.3,0
REG_00089,Gyalshing,2025-03-10,7.0,21.29,58.65,0.206,1.13,Agriculture,24.2,0
REG_00090,Kullu,2024-04-19,66.47,187.78,20.68,0.605,3.52,Agriculture,52.0,0
REG_00091,Haridwar,2022-08-18,80.79,110.28,52.35,0.448,3.2,Urban,47.7,0
REG_00092,Tehri,2024-01-25,15.31,33.2,17.1,0.249,2.1,Urban,25.6,0
REG_00093,Tehri,2022-10-25,15.25,56.45,10.86,0.341,1.93,Forest,22.8,0
REG_00094,Pakyong,2021-05-17,5.57,29.99,52.35,0.171,1.21,Forest,20.9,0
REG_00095,Kangra,2021-02-01,12.82,40.27,57.99,0.167,3.08,Agriculture,29.2,0
REG_00096,Kullu,2022-05-20,20.28,61.63,11.61,0.303,1.27,Agriculture,23.7,0
REG_00097,Kullu,2021-01-27,31.85,67.87,52.22,0.298,2.5,Barren,36.1,0
REG_00098,Chamba,2020-07-25,60.33,103.12,44.97,0.376,2.23,Urban,41.9,0
REG_00099,Chamoli,2022-11-04,19.08,145.07,44.99,0.468,4.13,Urban,52.9,0
REG_00100,Rudraprayag,2025-02-24,28.6,42.68,32.98,0.306,0.55,Barren,26.2,0
REG_00101,Tehri,2024-01-24,12.12,43.89,30.85,0.254,2.11,Urban,29.3,0
REG_00102,Uttarkashi,2022-05-13,33.27,96.4,28.65,0.508,2.68,Forest,36.1,0
REG_00103,Gangtok,2021-07-17,96.41,146.22,29.09,0.503,3.12,Urban,49.2,0
REG_00104,Tehri,2022-10-17,29.76,89.05,56.86,0.34,1.75,Agriculture,36.3,0
REG_00105,Dehradun,2020-04-05,2.84,56.21,50.79,0.337,2.16,Urban,36.3,0
REG_00106,Gyalshing,2025-04-07,13.3,57.48,25.69,0.394,2.92,Agriculture,31.2,0
REG_00107,Haridwar,2024-10-23,9.91,21.52,47.03,0.179,1.07,Urban,25.5,0
REG_00108,Pakyong,2024-08-05,21.76,126.67,42.82,0.51,2.88,Forest,42.4,0
REG_00109,Tehri,2021-06-24,164.63,196.42,52.3,0.578,4.9,Urban,64.4,0
REG_00110,Kangra,2022-11-25,31.33,53.15,14.6,0.27,0.5,Agriculture,20.9,0
REG_00111,Gyalshing,2023-03-29,4.07,53.92,45.01,0.23,2.43,Forest,26.4,0
REG_00112,Kullu,2024-09-18,139.05,291.46,22.25,0.901,6.64,Agriculture,78.0,1
REG_00113,Gyalshing,2024-12-24,16.07,91.65,22.08,0.369,2.89,Urban,37.9,0
REG_00114,Rudraprayag,2024-05-16,23.18,108.28,45.29,0.387,3.03,Forest,37.9,0
REG_00115,Rudraprayag,2022-03-06,10.16,233.25,54.75,0.785,5.59,Agriculture,71.7,0
REG_00116,Haridwar,2022-11-17,33.11,91.95,35.8,0.32,2.15,Urban,37.5,0
REG_00117,Kinnaur,2024-07-01,70.26,89.17,33.28,0.477,1.83,Forest,33.5,0
REG_00118,Pithoragarh,2023-09-25,94.5,128.78,50.76,0.502,2.26,Forest,42.6,0
REG_00119,Gangtok,2025-06-04,124.69,159.77,11.27,0.599,4.07,Agriculture,48.1,0
REG_00120,Kullu,2023-09-16,100.76,118.38,45.35,0.51,2.23,Forest,40.6,0
REG_00121,Pakyong,2024-07-21,59.62,101.33,12.81,0.447,2.94,Agriculture,35.5,0
REG_00122,Rudraprayag,2024-03-09,15.7,116.37,22.22,0.352,2.86,Urban,40.3,0
REG_00123,Chamba,2025-07-31,111.46,224.69,43.35,0.63,4.21,Agriculture,62.1,0
REG_00124,Tehri,2024-02-05,13.52,43.09,29.01,0.208,0.92,Forest,18.9,0
REG_00125,Gangtok,2023-11-09,16.79,126.21,24.76,0.444,4.04,Urban,46.5,0
REG_00126,Shimla,2023-11-01,20.89,86.41,35.22,0.434,2.62,Forest,34.0,0
REG_00127,Kinnaur,2023-07-30,53.01,75.08,52.49,0.267,1.05,Forest,28.3,0
REG_00128,Shimla,2022-08-30,69.78,80.25,31.3,0.301,2.05,Forest,28.2,0
REG_00129,Chamoli,2024-11-03,19.12,86.18,36.64,0.335,2.11,Urban,37.3,0
REG_00130,Gyalshing,2023-07-06,79.77,134.38,17.9,0.491,2.98,Agriculture,41.4,0
REG_00131,Rudraprayag,2021-12-10,18.39,65.82,32.23,0.341,0.63,Agriculture,27.3,0
REG_00132,Tehri,2024-01-19,12.51,29.9,10.83,0.174,1.4,Agriculture,17.0,0
REG_00133,Gangtok,2023-12-05,19.78,37.85,51.91,0.324,1.62,Forest,26.4,0
REG_00134,Namchi,2021-10-10,39.65,74.07,20.34,0.362,1.52,Forest,26.1,0
REG_00135,Uttarkashi,2020-11-13,15.66,40.95,55.99,0.265,0.5,Urban,30.2,0
REG_00136,Dehradun,2023-06-11,81.86,147.02,27.88,0.525,3.45,Barren,48.8,0
REG_00137,Mandi,2021-11-14,15.45,76.5,51.79,0.267,2.98,Forest,32.2,0
REG_00138,Shimla,2021-10-25,38.29,70.66,29.48,0.321,1.86,Agriculture,29.4,0
REG_00139,Shimla,2025-06-21,63.9,112.08,17.64,0.434,2.2,Barren,38.3,0
REG_00140,Kullu,2024-06-19,45.1,143.58,35.19,0.55,4.11,Urban,53.1,0
REG_00141,Pithoragarh,2024-02-04,27.07,98.68,23.03,0.435,3.35,Agriculture,37.4,0
REG_00142,Namchi,2023-02-10,13.03,46.29,26.15,0.338,1.14,Forest,22.5,0
REG_00143,Kinnaur,2025-01-27,26.03,98.39,25.81,0.409,2.81,Forest,33.6,0
